time	V(n001)	I(R1)
2.547661887294328e-04	2.408956e-02	-8.707606e-07
2.552544699794328e-04	2.413105e-02	-8.343240e-07
2.557427512294328e-04	2.417076e-02	-8.001417e-07
2.562310324794328e-04	2.420869e-02	-7.682135e-07
2.567193137294328e-04	2.424483e-02	-7.385396e-07
2.576958762294328e-04	2.431437e-02	-6.988037e-07
2.581841574794328e-04	2.434833e-02	-6.875028e-07
2.586724387294328e-04	2.438159e-02	-6.822785e-07
2.591607199794328e-04	2.441482e-02	-6.832249e-07
2.596490012294328e-04	2.444843e-02	-6.902896e-07
2.601372824794328e-04	2.448267e-02	-7.032759e-07
2.611138449794328e-04	2.455354e-02	-7.455401e-07
2.620904074794328e-04	2.462998e-02	-8.058390e-07
2.625786887294328e-04	2.467049e-02	-8.432584e-07
2.630669699794328e-04	2.471286e-02	-8.806275e-07
2.635552512294328e-04	2.475709e-02	-9.179461e-07
2.640435324794328e-04	2.480318e-02	-9.552143e-07
2.645318137294328e-04	2.485113e-02	-9.924321e-07
2.650200949794328e-04	2.490094e-02	-1.029599e-06
2.655083762294328e-04	2.495261e-02	-1.066716e-06
2.664849387294328e-04	2.506057e-02	-1.126344e-06
2.674615012294328e-04	2.517315e-02	-1.168123e-06
2.684380637294328e-04	2.528864e-02	-1.188309e-06
2.694146262294328e-04	2.540422e-02	-1.185216e-06
2.703911887294328e-04	2.551872e-02	-1.159359e-06
2.713677512294328e-04	2.562943e-02	-1.113383e-06
2.728325949794328e-04	2.578459e-02	-1.016957e-06
2.733208762294328e-04	2.583295e-02	-9.784013e-07
2.738091574794328e-04	2.587959e-02	-9.412585e-07
2.742974387294328e-04	2.592450e-02	-9.055283e-07
2.747857199794328e-04	2.596768e-02	-8.712108e-07
2.752740012294328e-04	2.600914e-02	-8.383060e-07
2.757622824794328e-04	2.604886e-02	-8.068140e-07
2.762505637294328e-04	2.608686e-02	-7.767346e-07
2.772271262294328e-04	2.616017e-02	-7.333290e-07
2.782036887294328e-04	2.623021e-02	-7.099276e-07
2.786919699794328e-04	2.626494e-02	-7.064346e-07
2.796685324794328e-04	2.633402e-02	-7.161420e-07
2.806450949794328e-04	2.640586e-02	-7.469519e-07
2.816216574794328e-04	2.648150e-02	-7.957704e-07
2.830865012294328e-04	2.660593e-02	-8.920258e-07
2.836445369437185e-04	2.665767e-02	-9.351356e-07
2.842025726580043e-04	2.671133e-02	-9.754096e-07
2.847606083722900e-04	2.676692e-02	-1.012848e-06
2.853186440865757e-04	2.682443e-02	-1.047451e-06
2.858766798008614e-04	2.688387e-02	-1.079218e-06
2.864347155151471e-04	2.694524e-02	-1.108149e-06
2.869927512294328e-04	2.700853e-02	-1.134244e-06
2.879693137294328e-04	2.712092e-02	-1.160423e-06
2.889458762294328e-04	2.723483e-02	-1.165876e-06
2.899224387294328e-04	2.734805e-02	-1.150292e-06
2.908990012294329e-04	2.745834e-02	-1.115336e-06
2.923638449794329e-04	2.761525e-02	-1.034570e-06
2.929218806937186e-04	2.767144e-02	-9.950646e-07
2.934799164080043e-04	2.772562e-02	-9.569437e-07
2.940379521222900e-04	2.777778e-02	-9.202076e-07
2.945959878365757e-04	2.782793e-02	-8.848561e-07
2.951540235508614e-04	2.787607e-02	-8.508893e-07
2.957120592651472e-04	2.792221e-02	-8.183073e-07
2.962700949794329e-04	2.796632e-02	-7.871100e-07
2.972466574794329e-04	2.804087e-02	-7.496618e-07
2.982232199794329e-04	2.811304e-02	-7.306239e-07
2.991997824794329e-04	2.818401e-02	-7.316037e-07
3.001763449794329e-04	2.825671e-02	-7.523157e-07
3.011529074794329e-04	2.833220e-02	-7.906265e-07
3.026177512294329e-04	2.845477e-02	-8.725010e-07
3.031757869437186e-04	2.850504e-02	-9.109536e-07
3.037338226580043e-04	2.855716e-02	-9.475261e-07
3.042918583722900e-04	2.861114e-02	-9.822185e-07
3.048498940865757e-04	2.866696e-02	-1.015031e-06
3.054079298008614e-04	2.872463e-02	-1.045963e-06
3.059659655151472e-04	2.878416e-02	-1.075016e-06
3.065240012294329e-04	2.884553e-02	-1.102188e-06
3.075005637294329e-04	2.895545e-02	-1.132736e-06
3.084771262294329e-04	2.906648e-02	-1.145109e-06
3.094536887294329e-04	2.917818e-02	-1.138322e-06
3.104302512294329e-04	2.928802e-02	-1.113195e-06
3.118950949794329e-04	2.944606e-02	-1.047069e-06
3.124531306937186e-04	2.950318e-02	-1.012786e-06
3.130111664080043e-04	2.955845e-02	-9.790580e-07
3.135692021222900e-04	2.961188e-02	-9.458859e-07
3.141272378365757e-04	2.966346e-02	-9.132693e-07
3.146852735508614e-04	2.971319e-02	-8.812081e-07
3.152433092651472e-04	2.976108e-02	-8.497024e-07
3.158013449794329e-04	2.980713e-02	-8.187521e-07
3.167779074794329e-04	2.988466e-02	-7.790907e-07
3.177544699794329e-04	2.995910e-02	-7.550962e-07
3.187310324794329e-04	3.003244e-02	-7.488675e-07
3.197075949794329e-04	3.010617e-02	-7.608169e-07
3.206841574794329e-04	3.018214e-02	-7.896476e-07
3.221490012294329e-04	3.030317e-02	-8.579123e-07
3.227070369437186e-04	3.035232e-02	-8.916997e-07
3.232650726580043e-04	3.040323e-02	-9.244346e-07
3.238231083722900e-04	3.045588e-02	-9.561171e-07
3.243811440865757e-04	3.051028e-02	-9.867471e-07
3.249391798008614e-04	3.056642e-02	-1.016325e-06
3.254972155151472e-04	3.062432e-02	-1.044850e-06
3.260552512294329e-04	3.068396e-02	-1.072322e-06
3.270318137294329e-04	3.079085e-02	-1.105810e-06
3.280083762294329e-04	3.089994e-02	-1.123615e-06
3.289849387294329e-04	3.100971e-02	-1.124217e-06
3.299615012294329e-04	3.111869e-02	-1.107727e-06
3.314263449794329e-04	3.127706e-02	-1.055084e-06
3.319843806937186e-04	3.133492e-02	-1.025841e-06
3.325424164080043e-04	3.139110e-02	-9.964593e-07
3.331004521222900e-04	3.144560e-02	-9.669380e-07
3.336584878365757e-04	3.149840e-02	-9.372773e-07
3.342165235508614e-04	3.154952e-02	-9.074772e-07
3.347745592651472e-04	3.159894e-02	-8.775377e-07
3.353325949794329e-04	3.164668e-02	-8.474588e-07
3.363091574794329e-04	3.172706e-02	-8.068305e-07
3.372857199794329e-04	3.180394e-02	-7.792719e-07
3.382622824794329e-04	3.187930e-02	-7.672413e-07
3.392388449794329e-04	3.195449e-02	-7.717165e-07
3.402154074794329e-04	3.203107e-02	-7.921180e-07
3.416802512294329e-04	3.215117e-02	-8.477016e-07
3.422382869437186e-04	3.219957e-02	-8.769181e-07
3.427963226580043e-04	3.224956e-02	-9.057862e-07
3.433543583722900e-04	3.230113e-02	-9.343062e-07
3.439123940865757e-04	3.235429e-02	-9.624779e-07
3.444704298008614e-04	3.240903e-02	-9.903014e-07
3.450284655151472e-04	3.246537e-02	-1.017777e-06
3.455865012294329e-04	3.252329e-02	-1.044904e-06
3.470513449794329e-04	3.268090e-02	-1.092851e-06
3.480279074794329e-04	3.278839e-02	-1.107287e-06
3.490044699794329e-04	3.289673e-02	-1.106080e-06
3.504693137294329e-04	3.305670e-02	-1.075913e-06
3.519341574794329e-04	3.320960e-02	-1.018264e-06
3.524921931937186e-04	3.326533e-02	-9.893827e-07
3.530502289080044e-04	3.331954e-02	-9.612867e-07
3.536082646222901e-04	3.337225e-02	-9.339755e-07
3.541663003365758e-04	3.342344e-02	-9.074492e-07
3.547243360508615e-04	3.347312e-02	-8.817076e-07
3.552823717651472e-04	3.352128e-02	-8.567509e-07
3.558404074794329e-04	3.356794e-02	-8.325790e-07
3.568169699794329e-04	3.364750e-02	-8.026800e-07
3.577935324794329e-04	3.372489e-02	-7.861308e-07
3.587700949794329e-04	3.380125e-02	-7.843544e-07
3.597466574794329e-04	3.387865e-02	-7.973741e-07
3.612115012294329e-04	3.399877e-02	-8.413149e-07
3.617695369437186e-04	3.404649e-02	-8.661366e-07
3.623275726580044e-04	3.409569e-02	-8.911974e-07
3.628856083722901e-04	3.414637e-02	-9.164975e-07
3.634436440865758e-04	3.419853e-02	-9.420368e-07
3.640016798008615e-04	3.425217e-02	-9.678153e-07
3.645597155151472e-04	3.430729e-02	-9.938331e-07
3.651177512294329e-04	3.436388e-02	-1.020090e-06
3.665825949794329e-04	3.451772e-02	-1.069855e-06
3.680474387294329e-04	3.467657e-02	-1.092234e-06
3.695122824794329e-04	3.483609e-02	-1.082959e-06
3.709771262294329e-04	3.499168e-02	-1.044418e-06
3.716049164080044e-04	3.505647e-02	-1.018097e-06
3.722327065865758e-04	3.511948e-02	-9.915837e-07
3.728604967651472e-04	3.518070e-02	-9.648779e-07
3.734882869437186e-04	3.524013e-02	-9.379796e-07
3.741160771222901e-04	3.529778e-02	-9.108889e-07
3.747438673008615e-04	3.535365e-02	-8.836057e-07
3.753716574794329e-04	3.540772e-02	-8.561301e-07
3.768365012294329e-04	3.552969e-02	-8.134461e-07
