time	V(n001)	I(R1)
5.995722312300725e-04	2.361694e-03	2.164318e-05
6.009138034584107e-04	-6.313467e-04	2.280384e-05
6.021739144709352e-04	-3.322977e-03	2.031236e-05
6.034585868458733e-04	-5.511239e-03	1.463779e-05
6.051580066045701e-04	-6.990017e-03	4.015376e-06
6.061937891466389e-04	-6.959648e-03	-3.208938e-06
6.072279993912807e-04	-6.207480e-03	-1.001763e-05
6.086176521704459e-04	-4.238398e-03	-1.727572e-05
6.102827811968461e-04	-9.583646e-04	-2.160237e-05
6.115905864442496e-04	1.824151e-03	-2.103619e-05
6.129284578284374e-04	4.322391e-03	-1.692456e-05
6.143837262072375e-04	6.154459e-03	-9.301298e-06
6.155423289769683e-04	6.725333e-03	-1.840112e-06
6.166066473889572e-04	6.476820e-03	5.185526e-06
6.176607337675508e-04	5.533500e-03	1.151548e-05
6.192190029438115e-04	3.144605e-03	1.827678e-05
6.206269927117629e-04	3.721744e-04	2.075253e-05
6.218760240803156e-04	-2.139885e-03	1.964854e-05
6.231474194212026e-04	-4.335078e-03	1.553234e-05
6.246952900097158e-04	-6.037773e-03	7.504326e-06
6.257565269707849e-04	-6.417401e-03	8.953778e-07
6.268537327618034e-04	-6.071382e-03	-5.955928e-06
6.279646102076357e-04	-5.006324e-03	-1.210884e-05
6.295811865699870e-04	-2.497867e-03	-1.817442e-05
6.309522978979969e-04	1.219509e-04	-1.980326e-05
6.321912413964400e-04	2.460335e-03	-1.820356e-05
6.334429991620490e-04	4.426229e-03	-1.389342e-05
6.350749127827998e-04	5.920254e-03	-5.451259e-06
6.360096255745644e-04	6.110763e-03	1.714436e-07
6.371507397928831e-04	5.641446e-03	6.876739e-06
6.383154863914782e-04	4.439937e-03	1.274787e-05
6.400136645169310e-04	1.774292e-03	1.802427e-05
6.413426205358324e-04	-6.767862e-04	1.875353e-05
6.427482879909839e-04	-3.099827e-03	1.609919e-05
6.440347510952393e-04	-4.793543e-03	1.102192e-05
6.454629174286723e-04	-5.754368e-03	3.489736e-06
6.464480475056975e-04	-5.762155e-03	-2.182938e-06
6.474926058346264e-04	-5.178540e-03	-7.897002e-06
6.488459479024215e-04	-3.646033e-03	-1.386830e-05
6.505130828279599e-04	-9.744280e-04	-1.771972e-05
6.518224462683152e-04	1.328266e-03	-1.748806e-05
6.531674268740919e-04	3.433039e-03	-1.428614e-05
6.545893525506325e-04	4.979298e-03	-8.305238e-06
6.558084675475145e-04	5.536937e-03	-1.894893e-06
6.568575032334372e-04	5.378246e-03	3.830355e-06
6.578781787253941e-04	4.674259e-03	8.960480e-06
6.594072476712273e-04	2.809435e-03	1.468193e-05
6.608558087560959e-04	4.859180e-04	1.706866e-05
6.621137044325372e-04	-1.609641e-03	1.636189e-05
6.633985129749458e-04	-3.469560e-03	1.309898e-05
6.649090014492009e-04	-4.907181e-03	6.772538e-06
6.660267061761821e-04	-5.288664e-03	1.074621e-06
6.671097542869022e-04	-5.045953e-03	-4.521843e-06
6.681971370184807e-04	-4.229739e-03	-9.564952e-06
6.697844383608902e-04	-2.251724e-03	-1.470893e-05
6.711717959880072e-04	-8.258265e-05	-1.632819e-05
6.724157497285657e-04	1.868368e-03	-1.521744e-05
6.736764680645933e-04	3.537941e-03	-1.180949e-05
6.752693224193233e-04	4.822212e-03	-5.151226e-06
6.762517498637145e-04	5.041826e-03	-3.059073e-07
6.773655025924692e-04	4.718754e-03	5.129540e-06
6.785003359531471e-04	3.813545e-03	9.970952e-06
6.801563172775585e-04	1.735996e-03	1.456592e-05
6.815089356394836e-04	-3.091315e-04	1.553090e-05
6.827439237759020e-04	-2.119588e-03	1.403117e-05
6.840044026935928e-04	-3.623937e-03	1.041143e-05
6.856764522725573e-04	-4.712272e-03	3.442152e-06
6.866484952435043e-04	-4.776689e-03	-1.169716e-06
6.878654434828757e-04	-4.245315e-03	-6.659404e-06
6.891151988833843e-04	-3.081239e-03	-1.123766e-05
6.908847270910802e-04	-7.581930e-04	-1.463466e-05
6.922218512062767e-04	1.177104e-03	-1.435457e-05
6.935886866032732e-04	2.919765e-03	-1.155466e-05
6.950226763977182e-04	4.161920e-03	-6.477127e-06
6.961933213701884e-04	4.569901e-03	-1.366234e-06
