time	I(R1)
1.038323435492956e-03	-9.063557e-07
1.039305233662797e-03	-5.342584e-08
1.040419079711085e-03	9.039945e-07
1.041554038183680e-03	1.756724e-06
1.043210301205249e-03	2.565876e-06
1.044563018229515e-03	2.735482e-06
1.045798378901883e-03	2.470848e-06
1.047059256863698e-03	1.832656e-06
1.048731647897296e-03	6.045051e-07
1.049704575250525e-03	-2.085593e-07
1.050918897714175e-03	-1.173312e-06
1.052170415695945e-03	-1.980528e-06
1.053938407758222e-03	-2.577779e-06
1.055275316503558e-03	-2.528234e-06
1.056641932322532e-03	-2.035013e-06
1.058076169515875e-03	-1.140435e-06
1.059246592841295e-03	-2.403583e-07
1.060303867082281e-03	5.962928e-07
1.061344579836318e-03	1.349100e-06
1.062892969211179e-03	2.167804e-06
1.064309052653553e-03	2.482606e-06
1.065560192125104e-03	2.363872e-06
1.066835797398376e-03	1.880624e-06
1.068367487229090e-03	9.385999e-07
1.069456030462673e-03	1.294991e-07
1.070546992505951e-03	-6.876314e-07
1.071647773020616e-03	-1.422881e-06
1.073250669697865e-03	-2.158579e-06
1.074629227186271e-03	-2.371688e-06
1.075871032703631e-03	-2.193555e-06
1.077127045433132e-03	-1.686642e-06
1.078741494510553e-03	-6.952533e-07
1.079693134084169e-03	-1.136490e-08
1.080819377381827e-03	7.840993e-07
1.081968873728681e-03	1.487329e-06
1.083646823792894e-03	2.137801e-06
1.084988157803746e-03	2.251262e-06
1.086249454957243e-03	2.003924e-06
1.087535265772715e-03	1.442026e-06
1.089235927918460e-03	3.915845e-07
1.090274754592432e-03	-3.237080e-07
1.091300404869164e-03	-9.900978e-07
1.092697538909384e-03	-1.709370e-06
1.094357892936229e-03	-2.133277e-06
1.095664628286522e-03	-2.076368e-06
1.097001382104484e-03	-1.670052e-06
1.098458050268677e-03	-9.161709e-07
1.099615152493766e-03	-1.802683e-07
1.100680001315431e-03	5.136715e-07
1.101735118953027e-03	1.138949e-06
1.103294280779410e-03	1.805914e-06
1.104701956556590e-03	2.049113e-06
1.105951171144094e-03	1.939037e-06
1.107222539080314e-03	1.531697e-06
1.108771896254320e-03	7.375030e-07
1.109830210297188e-03	8.656809e-08
1.110928013572711e-03	-5.901308e-07
1.112039836139546e-03	-1.197714e-06
1.113657818334986e-03	-1.795825e-06
1.115028553767501e-03	-1.955171e-06
1.116267468089138e-03	-1.795999e-06
1.117519148242964e-03	-1.369445e-06
1.119152849339832e-03	-5.341705e-07
1.120085383527014e-03	1.982001e-08
1.121228123762966e-03	6.825094e-07
1.122394429575332e-03	1.262089e-06
1.124094925971889e-03	1.781348e-06
1.125422915434158e-03	1.850983e-06
1.126828123007811e-03	1.586867e-06
1.128117441114997e-03	1.082822e-06
1.129539905228882e-03	3.411490e-07
1.130526459906163e-03	-2.197273e-07
1.131563327165305e-03	-7.796408e-07
1.132922685566724e-03	-1.371293e-06
1.134585329920884e-03	-1.749662e-06
1.135893800273530e-03	-1.726572e-06
1.137237958938289e-03	-1.410581e-06
1.138660336023714e-03	-8.198873e-07
1.139879542064216e-03	-1.869137e-07
1.140928704385303e-03	3.784179e-07
1.141949613769482e-03	8.850051e-07
1.143478787726082e-03	1.449805e-06
1.144926856468490e-03	1.685255e-06
1.146184987895481e-03	1.615375e-06
1.147469998439962e-03	1.293054e-06
1.148980669567033e-03	6.682392e-07
1.150097906664530e-03	1.058696e-07
1.151181042368791e-03	-4.467181e-07
